service_id,date,exception_type
000001,20210416,1
000001,20210419,1
000001,20210420,1
000001,20210421,1
000001,20210422,1
000001,20210423,1
000001,20210426,1
000001,20210427,1
000001,20210428,1
000001,20210429,1
000001,20210430,1
000001,20210503,1
000001,20210504,1
000001,20210505,1
000001,20210506,1
000001,20210507,1
000001,20210510,1
000001,20210511,1
000001,20210512,1
000001,20210517,1
000001,20210518,1
000001,20210519,1
000001,20210520,1
000001,20210521,1
000001,20210525,1
000001,20210526,1
000001,20210527,1
000001,20210528,1
000002,20210514,1
000003,20210318,1
000003,20210319,1
000003,20210322,1
000003,20210323,1
000003,20210324,1
000003,20210325,1
000003,20210326,1
000003,20210329,1
000003,20210330,1
000003,20210331,1
000003,20210401,1
000003,20210402,1
000003,20210406,1
000003,20210407,1
000003,20210408,1
000003,20210409,1
000003,20210412,1
000003,20210413,1
000003,20210414,1
000003,20210415,1
000003,20210416,1
000003,20210419,1
000003,20210420,1
000003,20210421,1
000003,20210422,1
000003,20210423,1
000003,20210426,1
000003,20210427,1
000003,20210428,1
000003,20210429,1
000003,20210430,1
000003,20210503,1
000003,20210504,1
000003,20210505,1
000003,20210506,1
000003,20210507,1
000003,20210510,1
000003,20210511,1
000003,20210512,1
000003,20210517,1
000003,20210518,1
000003,20210519,1
000003,20210520,1
000003,20210521,1
000003,20210525,1
000003,20210526,1
000003,20210527,1
000003,20210528,1
000004,20210410,1
000004,20210417,1
000005,20210424,1
000005,20210501,1
000005,20210508,1
000006,20210513,1
000007,20210419,1
000007,20210426,1
000007,20210503,1
000007,20210510,1
000007,20210517,1
000008,20210416,1
000008,20210420,1
000008,20210421,1
000008,20210422,1
000008,20210423,1
000008,20210427,1
000008,20210428,1
000008,20210429,1
000008,20210430,1
000008,20210504,1
000008,20210505,1
000008,20210506,1
000008,20210507,1
000008,20210511,1
000008,20210512,1
000008,20210513,1
000008,20210514,1
000008,20210518,1
000008,20210519,1
000008,20210520,1
000008,20210521,1
000008,20210525,1
000008,20210526,1
000008,20210527,1
000008,20210528,1
000009,20210321,1
000009,20210425,1
000009,20210502,1
000009,20210509,1
000010,20210328,1
000011,20210417,1
000011,20210418,1
000011,20210515,1
000011,20210516,1
000011,20210522,1
000011,20210523,1
000011,20210524,1
000012,20210318,1
000012,20210319,1
000012,20210322,1
000012,20210323,1
000012,20210324,1
000012,20210325,1
000012,20210326,1
000012,20210329,1
000012,20210330,1
000012,20210331,1
000012,20210401,1
000012,20210402,1
000012,20210406,1
000012,20210407,1
000012,20210408,1
000012,20210409,1
000012,20210412,1
000012,20210413,1
000012,20210414,1
000012,20210415,1
000012,20210416,1
000012,20210419,1
000012,20210420,1
000012,20210421,1
000012,20210422,1
000012,20210423,1
000012,20210426,1
000012,20210427,1
000012,20210428,1
000012,20210429,1
000012,20210430,1
000012,20210503,1
000012,20210504,1
000012,20210505,1
000012,20210506,1
000012,20210507,1
000012,20210510,1
000012,20210511,1
000012,20210512,1
000012,20210514,1
000012,20210517,1
000012,20210518,1
000012,20210519,1
000012,20210520,1
000012,20210521,1
000012,20210525,1
000012,20210526,1
000012,20210527,1
000012,20210528,1
000013,20210327,1
000014,20210404,1
000015,20210320,1
000015,20210417,1
000015,20210424,1
000015,20210501,1
000015,20210508,1
000016,20210403,1
000017,20210418,1
000018,20210416,1
000018,20210419,1
000018,20210420,1
000018,20210421,1
000018,20210422,1
000018,20210423,1
000018,20210426,1
000018,20210427,1
000018,20210428,1
000018,20210429,1
000018,20210430,1
000018,20210503,1
000018,20210504,1
000018,20210505,1
000018,20210506,1
000018,20210507,1
000018,20210510,1
000018,20210511,1
000018,20210512,1
000018,20210514,1
000018,20210517,1
000018,20210518,1
000018,20210519,1
000018,20210520,1
000018,20210521,1
000018,20210525,1
000018,20210526,1
000018,20210527,1
000018,20210528,1
000019,20210513,1
000019,20210515,1
000019,20210516,1
000019,20210522,1
000019,20210523,1
000019,20210524,1
000020,20210425,1
000020,20210502,1
000020,20210509,1
000021,20210318,1
000021,20210319,1
000021,20210412,1
000021,20210413,1
000021,20210414,1
000021,20210415,1
000021,20210416,1
000021,20210510,1
000021,20210511,1
000021,20210512,1
000021,20210514,1
000022,20210322,1
000022,20210323,1
000022,20210324,1
000022,20210325,1
000022,20210326,1
000022,20210329,1
000022,20210330,1
000022,20210331,1
000022,20210401,1
000022,20210402,1
000022,20210406,1
000022,20210407,1
000022,20210408,1
000022,20210409,1
000022,20210419,1
000022,20210420,1
000022,20210421,1
000022,20210422,1
000022,20210423,1
000022,20210426,1
000022,20210427,1
000022,20210428,1
000022,20210429,1
000022,20210430,1
000022,20210503,1
000022,20210504,1
000022,20210505,1
000022,20210506,1
000022,20210507,1
000022,20210517,1
000022,20210518,1
000022,20210519,1
000022,20210520,1
000022,20210521,1
000022,20210525,1
000022,20210526,1
000022,20210527,1
000022,20210528,1
000023,20210320,1
000023,20210424,1
000023,20210501,1
000023,20210508,1
000024,20210327,1
000024,20210403,1
000025,20210416,1
000025,20210510,1
000025,20210511,1
000025,20210512,1
000026,20210419,1
000026,20210420,1
000026,20210421,1
000026,20210422,1
000026,20210423,1
000026,20210426,1
000026,20210427,1
000026,20210428,1
000026,20210429,1
000026,20210430,1
000026,20210503,1
000026,20210504,1
000026,20210505,1
000026,20210506,1
000026,20210507,1
000026,20210514,1
000026,20210517,1
000026,20210518,1
000026,20210519,1
000026,20210520,1
000026,20210521,1
000026,20210524,1
000026,20210525,1
000026,20210526,1
000026,20210527,1
000026,20210528,1
000027,20210322,1
000027,20210323,1
000027,20210324,1
000027,20210325,1
000027,20210326,1
000027,20210329,1
000027,20210330,1
000027,20210331,1
000027,20210401,1
000027,20210402,1
000027,20210406,1
000027,20210407,1
000027,20210408,1
000027,20210409,1
000027,20210419,1
000027,20210420,1
000027,20210421,1
000027,20210422,1
000027,20210423,1
000027,20210426,1
000027,20210427,1
000027,20210428,1
000027,20210429,1
000027,20210430,1
000027,20210503,1
000027,20210504,1
000027,20210505,1
000027,20210506,1
000027,20210507,1
000027,20210514,1
000027,20210517,1
000027,20210518,1
000027,20210519,1
000027,20210520,1
000027,20210521,1
000027,20210525,1
000027,20210526,1
000027,20210527,1
000027,20210528,1
000028,20210318,1
000028,20210319,1
000028,20210412,1
000028,20210413,1
000028,20210414,1
000028,20210415,1
000028,20210416,1
000028,20210510,1
000028,20210511,1
000028,20210512,1
000029,20210403,1
000029,20210424,1
000029,20210501,1
000029,20210508,1
000030,20210403,1
000030,20210417,1
000031,20210419,1
000031,20210420,1
000031,20210421,1
000031,20210422,1
000031,20210423,1
000031,20210426,1
000031,20210427,1
000031,20210428,1
000031,20210429,1
000031,20210430,1
000031,20210503,1
000031,20210504,1
000031,20210505,1
000031,20210506,1
000031,20210507,1
000031,20210517,1
000031,20210518,1
000031,20210519,1
000031,20210520,1
000031,20210521,1
000031,20210525,1
000031,20210526,1
000031,20210527,1
000031,20210528,1
000032,20210321,1
000032,20210405,1
000032,20210425,1
000032,20210502,1
000032,20210509,1
000033,20210411,1
000034,20210328,1
000034,20210416,1
000034,20210418,1
000034,20210419,1
000034,20210420,1
000034,20210421,1
000034,20210422,1
000034,20210423,1
000034,20210426,1
000034,20210427,1
000034,20210428,1
000034,20210429,1
000034,20210430,1
000034,20210503,1
000034,20210504,1
000034,20210505,1
000034,20210506,1
000034,20210507,1
000034,20210510,1
000034,20210511,1
000034,20210512,1
000034,20210513,1
000034,20210514,1
000034,20210515,1
000034,20210516,1
000034,20210517,1
000034,20210518,1
000034,20210519,1
000034,20210520,1
000034,20210521,1
000034,20210522,1
000034,20210523,1
000034,20210524,1
000034,20210525,1
000034,20210526,1
000034,20210527,1
000034,20210528,1
000035,20210405,1
000036,20210417,1
000036,20210424,1
000036,20210501,1
000036,20210508,1
000037,20210320,1
000037,20210327,1
000037,20210424,1
000037,20210501,1
000037,20210508,1
000038,20210319,1
000038,20210322,1
000038,20210323,1
000038,20210324,1
000038,20210325,1
000038,20210326,1
000038,20210329,1
000038,20210330,1
000038,20210331,1
000038,20210401,1
000038,20210402,1
000038,20210406,1
000038,20210407,1
000038,20210408,1
000038,20210409,1
000038,20210416,1
000038,20210419,1
000038,20210420,1
000038,20210421,1
000038,20210422,1
